,,,,,,,,,,,,,,Type of Payment code,Vehicle Code
,,3973,Wed,Aug,,4,19:49:00,2021,4169818,,,,4148,,
,,3974,Thu,Aug,,5,19:47:29,2021,3214907,,,,4440,,
,,3975,Sun,Aug,22,03:19:39,2021,4699948,,,,4857.0,PC59F4E22,,
,,3976,Sun,Aug,,8,23:47:24,2021,2586307,,,,4044,,
,,3977,Tue,Aug,,3,19:26:07,2021,9660894,,,,4159,,
,,3978,Thu,Aug,19,14:59:19,2021,5849576,,,,4722.0,PC035B71E,,
,,3979,Sat,Aug,,7,09:57:36,2021,1585534,,,,4882,,
,,3980,Tue,Aug,10,10:28:29,2021,1413359,,,,4784.0,PCDB42B34,,
,,3981,Mon,Aug,16,10:38:08,2021,7690936,,,,4313.0,PC6D0FC31,,
,,3982,Thu,Aug,19,00:29:29,2021,3896044,,,,4821.0,PC67D349A,,
,,3983,Fri,Aug,13,23:01:44,2021,4514901,,,,4002.0,PCED7D2DE,,
,,3984,Thu,Aug,,5,11:03:36,2021,8596445,,,,4462,,
,,3985,Mon,Aug,16,11:22:52,2021,2778907,,,,4881.0,PCDE20E6F,,
,,3986,Sat,Aug,21,09:55:21,2021,1498074,,,,4025.0,PC5ABB8E4,,
,,3987,Sun,Aug,15,09:50:20,2021,8449217,,,,4221.0,PC90AAFDA,,
,,3988,Thu,Aug,12,16:44:52,2021,1366794,,,,4935.0,PC327D635,,
,,3989,Sat,Aug,21,17:31:54,2021,2167499,,,,4947.0,PCE4A44BE,,
,,3990,Wed,Aug,11,18:07:04,2021,5119460,,,,4268.0,PC6CC51DA,,
,,3991,Sun,Aug,,1,17:30:15,2021,6907626,,,,4676,,
,,3992,Sat,Aug,21,10:02:26,2021,2799272,,,,4320.0,PC40C93B0,,
,,3993,Sat,Aug,21,02:08:27,2021,9804867,,,,4505.0,PCEF64195,,
,,3994,Mon,Aug,16,21:04:19,2021,1773041,,,,4375.0,PCAE085FE,,
,,3995,Tue,Aug,17,02:22:34,2021,5313932,,,,4971.0,PC0BD172F,,
,,3996,Tue,Aug,10,00:45:00,2021,1310709,,,,4291.0,PCD411AEF,,
,,3997,Tue,Aug,10,02:14:55,2021,6899452,,,,4043.0,PC134F258,,
,,3998,Wed,Aug,18,05:36:36,2021,7486489,,,,4166.0,PCE450C55,,
,,3999,Sat,Aug,14,03:55:47,2021,7306857,,,,4512.0,PC4B1BAF3,,
,,4000,Mon,Aug,16,19:09:32,2021,3922737,,,,4180.0,PC250A90D,,
,,4001,Sun,Aug,,1,09:59:23,2021,9613253,,,,4782,,
,,4002,Sun,Aug,22,18:02:23,2021,1984532,,,,4089.0,PC3CCA187,,
,,4003,Sun,Aug,,8,01:38:45,2021,270361,,,,,,
,,4004,Wed,Aug,11,13:19:02,2021,930067,,,,,4622,,
,,4005,Wed,Aug,11,18:36:17,2021,3523370,,,,4401.0,PC0606D6A,,
,,4006,Thu,Aug,,5,14:07:58,2021,5491284,,,,4871,,
,,4007,Sun,Aug,,1,16:59:56,2021,3131680,,,,4277,,
,,4008,Tue,Aug,10,12:52:35,2021,2462066,,,,4867.0,PC5A6D86E,,
,,4009,Sat,Jul,31,11:02:56,2021,3585344,,,,4520.0,PC8140983,,
,,4010,Fri,Aug,20,23:39:08,2021,7426261,,,,4354.0,PC0671DD4,,
,,4011,Mon,Aug,,9,07:07:59,2021,2692354,,,,4643,,
,,4012,Tue,Aug,,3,21:15:35,2021,7795500,,,,4983,,
,,4013,Fri,Aug,13,09:05:14,2021,4585104,,,,4929.0,PC9E503B6,,
,,4014,Tue,Aug,,3,04:56:28,2021,1244816,,,,4528,,
,,4015,Sat,Aug,,7,21:05:19,2021,4196189,,,,4449,,
,,4016,Fri,Aug,20,18:38:26,2021,4003474,,,,4199.0,PC7CCC47B,,
,,4017,Mon,Aug,16,09:00:46,2021,2675218,,,,4910.0,PC75BC2DF,,
,,4018,Sat,Aug,21,13:52:02,2021,6382948,,,,4709.0,PCC8C7059,,
,,4019,Fri,Aug,,6,16:44:20,2021,5375733,,,,4522,,
,,4020,Thu,Aug,,5,15:24:32,2021,6521728,,,,4355,,
,,4021,Sun,Aug,,8,09:02:12,2021,7176623,,,,4145,,
,,4022,Sat,Aug,14,17:38:59,2021,3391139,,,,4667.0,PCD540B2F,,
,,4023,Tue,Aug,,3,14:20:09,2021,3633796,,,,4389,,
,,4024,Tue,Aug,,3,17:45:43,2021,7248370,,,,4034,,
,,4025,Thu,Jul,29,15:49:18,2021,7966711,,,,4253.0,PC82A16E6,,
,,4026,Sat,Aug,,7,08:01:54,2021,236035,,,,,,
,,4027,Sun,Aug,,8,04:28:05,2021,564995,,,,,,
,,4028,Fri,Aug,,6,18:47:44,2021,9734969,,,,4901,,
,,4029,Thu,Aug,,5,11:47:08,2021,9003131,,,,4828,,
,,4030,Tue,Aug,10,15:16:38,2021,9170941,,,,4706.0,PCD8D5094,,
,,4031,Mon,Aug,,2,20:40:58,2021,4755552,,,,4633,,
,,4032,Tue,Aug,,3,14:46:48,2021,6207263,,,,4751,,
,,4033,Thu,Aug,12,08:57:17,2021,4500701,,,,4259.0,PCBB65EF4,,
,,4034,Sun,Aug,,8,23:35:44,2021,8948237,,,,4737,,
,,4035,Tue,Aug,,3,02:46:37,2021,3302217,,,,4406,,
,,4036,Mon,Aug,,2,08:19:06,2021,4296422,,,,4739,,
,,4037,Sat,Aug,,7,04:59:25,2021,8135299,,,,4445,,
,,4038,Thu,Aug,19,01:04:16,2021,147575,,,,,4218,,
,,4039,Tue,Aug,,3,01:12:19,2021,180573,,,,,,
,,4040,Sat,Aug,21,07:41:04,2021,2234391,,,,4503.0,PC69DE15C,,
,,4041,Sat,Aug,21,19:14:21,2021,3853665,,,,4367.0,PC8D90EF0,,
,,4042,Sat,Jul,31,01:42:01,2021,5343494,,,,4525.0,PCF64B519,,
,,4043,Tue,Aug,,3,06:23:44,2021,899144,,,,,,
,,4044,Sun,Aug,,1,08:46:45,2021,6003888,,,,4806,,
,,4045,Fri,Jul,30,08:06:39,2021,1822683,,,,4707.0,PC98F856D,,
,,4046,Tue,Aug,10,16:22:36,2021,6497963,,,,4071.0,PCDBBCB68,,
,,4047,Sun,Aug,,1,22:22:46,2021,1555749,,,,4910,,
,,4048,Thu,Aug,19,01:31:38,2021,7840711,,,,4973.0,PC9C7C18E,,
,,4049,Fri,Aug,,6,07:58:24,2021,3812299,,,,4125,,
,,4050,Mon,Aug,16,08:07:33,2021,4896895,,,,4010.0,PC3A7AACB,,
,,4051,Thu,Jul,29,17:52:00,2021,699810,,,,,4309,,
,,4052,Sat,Jul,31,02:18:12,2021,7855948,,,,4518.0,PCC7B407A,,
,,4053,Fri,Aug,,6,01:24:04,2021,8071692,,,,4079,,
,,4054,Wed,Aug,11,17:23:01,2021,2479490,,,,4452.0,PC8C7C5D7,,
,,4055,Mon,Aug,,2,21:56:42,2021,3125207,,,,4334,,
,,4056,Thu,Aug,19,14:14:02,2021,2654922,,,,4379.0,PC87C8BC4,,
,,4057,Mon,Aug,,2,16:35:09,2021,3320130,,,,4690,,
,,4058,Mon,Aug,,2,19:27:59,2021,3501060,,,,4122,,
,,4059,Wed,Aug,,4,10:05:25,2021,4717663,,,,4377,,
,,4060,Fri,Aug,13,04:10:25,2021,6701314,,,,4830.0,PC12EEFE0,,
,,4061,Fri,Aug,20,23:46:38,2021,499499,,,,,4740,,
,,4062,Thu,Aug,12,10:45:55,2021,2209051,,,,4341.0,PC1E10EC3,,
,,4063,Fri,Aug,13,01:19:02,2021,3484776,,,,4729.0,PC5170BF4,,
,,4064,Fri,Jul,30,15:48:41,2021,3349464,,,,4866.0,PC3137434,,
,,4065,Fri,Aug,20,22:54:45,2021,3111590,,,,4266.0,PC39B17A9,,
,,4066,Fri,Aug,13,09:07:18,2021,3186351,,,,4964.0,PC52C0F45,,
,,4067,Sat,Aug,,7,18:31:26,2021,2186633,,,,4248,,
,,4068,Tue,Aug,17,16:46:07,2021,4340716,,,,4670.0,PC2BE6D87,,
,,4069,Fri,Aug,,6,23:52:04,2021,575838,,,,,,
,,4070,Thu,Aug,,5,17:07:42,2021,1195457,,,,4580,,
,,4071,Thu,Aug,12,05:48:36,2021,5933861,,,,4170.0,PC8CA1B15,,
,,4072,Tue,Aug,10,02:38:57,2021,5970626,,,,4269.0,PCC7106FF,,
,,4073,Mon,Aug,,9,00:47:59,2021,7952340,,,,4627,,
,,4074,Tue,Aug,10,01:36:25,2021,9380227,,,,4771.0,PC71FE98A,,
,,4075,Wed,Aug,11,06:50:51,2021,2664314,,,,4973.0,PC9C7C18E,,
,,4076,Fri,Aug,,6,16:38:14,2021,906221,,,,,,
,,4077,Tue,Aug,10,20:50:03,2021,4417611,,,,4433.0,PC1DEB043,,
,,4078,Tue,Aug,,3,08:11:52,2021,1967211,,,,4218,,
,,4079,Sun,Aug,15,16:47:05,2021,5717679,,,,4180.0,PC250A90D,,
,,4080,Sat,Aug,21,11:55:48,2021,7108092,,,,4079.0,PCF1366ED,,
,,4081,Thu,Aug,19,12:31:00,2021,262979,,,,,4949,,
,,4082,Sun,Aug,,8,11:20:16,2021,4860815,,,,4402,,
,,4083,Thu,Aug,19,09:05:22,2021,751684,,,,,4905,,
,,4084,Mon,Aug,16,19:50:31,2021,7709222,,,,4618.0,PC8F4AF85,,
,,4085,Wed,Aug,18,22:09:00,2021,6198956,,,,4364.0,PCB33ACE8,,
,,4086,Thu,Aug,12,04:56:45,2021,9027948,,,,4086.0,PC23E470D,,
,,4087,Fri,Aug,20,12:57:30,2021,6469321,,,,4930.0,PC22F748B,,
,,4088,Sat,Aug,21,01:43:40,2021,7856199,,,,4333.0,PCCCAD2AC,,
,,4089,Tue,Aug,17,07:33:46,2021,7243512,,,,4542.0,PC3E57E3D,,
,,4090,Fri,Jul,30,01:44:24,2021,1732867,,,,4018.0,PCCB2657A,,
,,4091,Sun,Aug,15,06:23:21,2021,7188147,,,,4651.0,PC12D9486,,
,,4092,Fri,Aug,,6,04:00:28,2021,1649232,,,,4323,,
,,4093,Mon,Aug,,2,14:41:57,2021,7901694,,,,4943,,
,,4094,Mon,Aug,,2,18:34:45,2021,5747454,,,,4483,,
,,4095,Wed,Aug,,4,05:16:25,2021,5899526,,,,4118,,
,,4096,Mon,Aug,,9,23:19:18,2021,3964656,,,,4658,,
,,4097,Sun,Aug,22,08:29:17,2021,6924880,,,,4431.0,PC3A23C14,,
,,4098,Wed,Aug,18,17:38:26,2021,3998686,,,,4521.0,PCD2C9ECF,,
,,4099,Thu,Aug,12,07:51:04,2021,7112453,,,,4763.0,PCC62D342,,
,,4100,Sun,Aug,,1,17:23:18,2021,796132,,,,,,
,,4101,Thu,Aug,19,02:39:22,2021,1228608,,,,4849.0,PCF764517,,
,,4102,Tue,Aug,17,07:04:53,2021,1147044,,,,4068.0,PC55432DA,,
,,4103,Thu,Aug,12,22:55:04,2021,5645121,,,,4048.0,PC1FE6483,,
,,4104,Sun,Aug,,8,03:11:34,2021,221362,,,,,,
,,4105,Sun,Aug,,8,18:42:34,2021,8416124,,,,4381,,
,,4106,Fri,Aug,13,04:53:34,2021,8697825,,,,4271.0,PC28E44E2,,
,,4107,Tue,Aug,17,13:53:08,2021,4768789,,,,4148.0,PCDFBBEBB,,
,,4108,Sun,Aug,22,03:12:05,2021,9006310,,,,4168.0,PCBC064F8,,
,,4109,Fri,Aug,13,19:54:40,2021,7791960,,,,4881.0,PCDE20E6F,,
,,4110,Thu,Aug,,5,12:23:47,2021,3140516,,,,4590,,
,,4111,Thu,Aug,19,03:49:36,2021,5531223,,,,4364.0,PCB33ACE8,,
,,4112,Tue,Aug,17,14:31:08,2021,7065498,,,,4049.0,PC4779D38,,
,,4113,Fri,Aug,,6,04:57:38,2021,6863272,,,,4730,,
,,4114,Sun,Aug,,1,08:43:03,2021,6736980,,,,4678,,
,,4115,Sun,Aug,,1,01:00:35,2021,7746406,,,,4927,,
,,4116,Sun,Aug,,8,19:58:22,2021,8933058,,,,4143,,
,,4117,Thu,Aug,,5,21:14:25,2021,9239975,,,,4315,,
,,4118,Fri,Jul,30,13:47:02,2021,5178788,,,,4240.0,PC72FE04B,,
,,4119,Sat,Aug,,7,02:10:26,2021,439841,,,,,,
,,4120,Sat,Aug,14,07:37:59,2021,5838155,,,,4159.0,PC5631507,,
,,4121,Mon,Aug,,9,22:57:51,2021,3155856,,,,4323,,
,,4122,Tue,Aug,17,13:30:31,2021,8027632,,,,4727.0,PC52E71B8,,
,,4123,Fri,Aug,20,07:59:39,2021,5494386,,,,4138.0,PC79E328A,,
,,4124,Wed,Aug,18,01:26:09,2021,827569,,,,,4736,,
,,4125,Sat,Aug,,7,06:02:37,2021,2201541,,,,4062,,
,,4126,Sun,Aug,15,00:44:09,2021,9236356,,,,4346.0,PCA35B156,,
,,4127,Tue,Aug,10,05:20:22,2021,3223583,,,,4975.0,PC818101A,,
,,4128,Mon,Aug,16,06:31:59,2021,5613442,,,,4244.0,PC9F3C86B,,
,,4129,Mon,Aug,,2,16:21:06,2021,5977159,,,,4504,,
,,4130,Sat,Aug,14,16:39:28,2021,7487382,,,,4832.0,PC34ECAB5,,
,,4131,Wed,Aug,,4,22:19:53,2021,9978864,,,,4009,,
,,4132,Fri,Aug,20,03:47:21,2021,2296676,,,,4637.0,PCE9C770E,,
,,4133,Mon,Aug,,2,16:07:15,2021,1612978,,,,4927,,
,,4134,Sat,Aug,,7,11:06:31,2021,8017168,,,,4063,,
,,4135,Fri,Aug,13,01:50:44,2021,6791885,,,,4360.0,PC084F676,,
,,4136,Tue,Aug,,3,18:38:29,2021,1539630,,,,4892,,
,,4137,Sun,Aug,,8,04:31:10,2021,3761338,,,,4504,,
,,4138,Wed,Aug,18,23:07:47,2021,1226919,,,,4112.0,PCEA652A8,,
,,4139,Thu,Aug,,5,06:14:16,2021,2452666,,,,4398,,
,,4140,Mon,Aug,,2,06:50:01,2021,3170159,,,,4703,,
,,4141,Tue,Aug,10,13:04:24,2021,737545,,,,,4466,,
,,4142,Wed,Aug,11,06:27:04,2021,4106788,,,,4009.0,PCF984421,,
,,4143,Sat,Aug,14,02:27:40,2021,4096153,,,,4699.0,PC2C1B987,,
,,4144,Sat,Jul,31,07:16:59,2021,3495118,,,,4698.0,PC8BCEB19,,
,,4145,Sat,Aug,,7,21:05:05,2021,2829331,,,,4509,,
,,4146,Tue,Aug,17,14:39:34,2021,5126801,,,,4092.0,PC40C2E00,,
,,4147,Sun,Aug,,1,12:56:48,2021,1670227,,,,4367,,
,,4148,Fri,Aug,,6,20:41:29,2021,2396827,,,,4528,,
,,4149,Mon,Aug,,2,16:14:01,2021,6885925,,,,4570,,
,,4150,Thu,Jul,29,19:21:44,2021,8171650,,,,4540.0,PC5CAF0A7,,
,,4151,Sat,Aug,,7,13:36:58,2021,6397302,,,,4351,,
,,4152,Tue,Aug,10,08:05:06,2021,7879701,,,,4439.0,PC845CEA6,,
,,4153,Thu,Aug,19,14:34:16,2021,6687423,,,,4795.0,PC7EE2DCF,,
,,4154,Tue,Aug,10,02:53:52,2021,2374602,,,,4908.0,PC3D16FC5,,
,,4155,Tue,Aug,10,00:52:11,2021,9240898,,,,4342.0,PCE7F2748,,
,,4156,Sat,Aug,14,15:37:01,2021,4915341,,,,4613.0,PCEBBFFB5,,
,,4157,Sat,Jul,31,21:05:41,2021,7802822,,,,4099.0,PC97F19B1,,
,,4158,Sun,Aug,,1,23:19:03,2021,3350776,,,,4840,,
,,4159,Fri,Aug,20,07:42:56,2021,2690877,,,,4676.0,PC9798721,,
,,4160,Sun,Aug,15,10:06:16,2021,4344244,,,,4749.0,PC65C93B7,,
,,4161,Sun,Aug,15,09:56:17,2021,9602730,,,,4324.0,PC9C3D708,,
,,4162,Mon,Aug,,2,08:19:34,2021,3787321,,,,4897,,
,,4163,Thu,Aug,19,03:39:55,2021,7953553,,,,4554.0,PC23BA77A,,
,,4164,Tue,Aug,,3,15:23:04,2021,6734398,,,,4055,,
,,4165,Sun,Aug,,8,11:25:06,2021,7619886,,,,4928,,
,,4166,Thu,Jul,29,12:26:09,2021,296479,,,,,4487,,
,,4167,Wed,Aug,18,10:11:26,2021,7182157,,,,4611.0,PC2EBEAB9,,
,,4168,Sat,Aug,21,14:07:31,2021,7435142,,,,4408.0,PC3B3BE8F,,
,,4169,Thu,Aug,19,18:00:30,2021,2553581,,,,4988.0,PC46BE0B2,,
,,4170,Sun,Aug,15,21:33:15,2021,7371035,,,,4035.0,PC1B1D964,,
,,4171,Thu,Aug,,5,15:38:44,2021,7839393,,,,4849,,
,,4172,Sat,Aug,14,07:21:02,2021,7212211,,,,4309.0,PC5E92F61,,
,,4173,Sun,Aug,,1,05:51:18,2021,3396199,,,,4751,,
,,4174,Mon,Aug,,2,01:28:37,2021,2893284,,,,4103,,
,,4175,Tue,Aug,,3,15:54:49,2021,3536604,,,,4155,,
,,4176,Thu,Aug,,5,16:42:57,2021,3095440,,,,4142,,
,,4177,Thu,Aug,12,19:42:57,2021,6435122,,,,4157.0,PC7305E43,,
,,4178,Mon,Aug,16,13:40:23,2021,9950800,,,,4533.0,PC8DA1D3B,,
,,4179,Mon,Aug,,2,05:10:21,2021,3931087,,,,4011,,
,,4180,Sat,Aug,21,22:37:16,2021,1484590,,,,4551.0,PCCA5979C,,
,,4181,Sat,Aug,,7,10:06:48,2021,8669883,,,,4645,,
,,4182,Wed,Aug,,4,13:53:54,2021,2891711,,,,4739,,
,,4183,Thu,Aug,,5,09:14:01,2021,6614238,,,,4275,,
,,4184,Thu,Aug,,5,03:03:56,2021,5575543,,,,4113,,
,,4185,Mon,Aug,,2,20:38:35,2021,2690786,,,,4289,,
,,4186,Mon,Aug,,9,09:46:58,2021,2859170,,,,4180,,
,,4187,Thu,Jul,29,21:47:03,2021,2902257,,,,4689.0,PC89C35AD,,
,,4188,Sat,Jul,31,14:28:01,2021,4347158,,,,4450.0,PC0B2B03E,,
,,4189,Fri,Aug,13,16:46:35,2021,7597008,,,,4893.0,PC3743587,,
,,4190,Mon,Aug,,2,12:19:43,2021,3691285,,,,4096,,
,,4191,Sat,Aug,14,03:08:32,2021,3014238,,,,4699.0,PC2C1B987,,
,,4192,Sat,Aug,14,09:50:56,2021,3775847,,,,4092.0,PC40C2E00,,
,,4193,Thu,Aug,,5,22:00:43,2021,4969966,,,,4982,,
,,4194,Mon,Aug,,9,07:00:25,2021,6561929,,,,4896,,
,,4195,Tue,Aug,17,16:54:49,2021,2734855,,,,4900.0,PCFE8B604,,
,,4196,Sat,Aug,14,16:12:31,2021,6570343,,,,4087.0,PC2C1DA2A,,
,,4197,Thu,Aug,12,09:14:42,2021,3643916,,,,4592.0,PC627AA14,,
,,4198,Tue,Aug,,3,23:23:27,2021,7919446,,,,4794,,
,,4199,Wed,Aug,11,21:41:58,2021,7463803,,,,4360.0,PC084F676,,
,,4200,Mon,Aug,16,03:47:21,2021,7683600,,,,4847.0,PCD546332,,
,,4201,Fri,Aug,,6,16:47:26,2021,2091574,,,,4593,,
,,4202,Tue,Aug,10,03:01:23,2021,2300720,,,,4497.0,PC76FDDEA,,
,,4203,Sun,Aug,22,10:16:10,2021,3883986,,,,4600.0,PCB99E8F9,,
,,4204,Wed,Aug,18,17:28:13,2021,7262712,,,,4028.0,PCE75C5C8,,
,,4205,Wed,Aug,18,00:18:38,2021,7869275,,,,4854.0,PCB6F1968,,
,,4206,Sat,Aug,,7,23:16:01,2021,4863173,,,,4994,,
,,4207,Sun,Aug,,8,18:01:23,2021,3820682,,,,4942,,
,,4208,Sun,Aug,,8,18:34:17,2021,6178165,,,,4265,,
,,4209,Mon,Aug,,2,12:59:11,2021,9900378,,,,4802,,
,,4210,Wed,Aug,,4,09:10:22,2021,1855539,,,,4688,,
,,4211,Tue,Aug,10,03:57:30,2021,5282375,,,,4971.0,PC0BD172F,,
,,4212,Wed,Aug,,4,05:30:57,2021,5967635,,,,4355,,
,,4213,Sat,Aug,21,21:24:36,2021,6480560,,,,4034.0,PCFC754C7,,
,,4214,Sat,Aug,21,03:21:57,2021,3064147,,,,4716.0,PCFCB0018,,
,,4215,Sat,Jul,31,22:39:00,2021,1043055,,,,4798.0,PC17F8052,,
,,4216,Sat,Aug,14,05:15:33,2021,2043204,,,,4497.0,PC76FDDEA,,
,,4217,Thu,Aug,12,09:08:08,2021,1368613,,,,4471.0,PC7E4F42A,,
,,4218,Thu,Aug,,5,11:54:18,2021,2231643,,,,4037,,
,,4219,Mon,Aug,16,00:16:06,2021,1550828,,,,4314.0,PC7E9E8F3,,
,,4220,Mon,Aug,,9,15:06:19,2021,2901364,,,,4757,,
,,4221,Sat,Jul,31,14:43:54,2021,7910366,,,,4427.0,PCD70DDDF,,
,,4222,Sat,Aug,,7,16:46:16,2021,6163495,,,,4188,,
,,4223,Thu,Aug,19,12:28:15,2021,4930585,,,,4771.0,PC71FE98A,,
,,4224,Tue,Aug,,3,12:04:02,2021,8377719,,,,4211,,
,,4225,Wed,Aug,11,20:24:37,2021,491167,,,,,4889,,
,,4226,Tue,Aug,10,02:56:41,2021,3943241,,,,4397.0,PCB070250,,
,,4227,Fri,Aug,,6,11:00:27,2021,3399632,,,,4880,,
,,4228,Thu,Jul,29,15:18:31,2021,5792465,,,,4853.0,PC214FB8E,,
,,4229,Fri,Aug,13,07:47:02,2021,808662,,,,,4991,,
,,4230,Tue,Aug,10,07:43:45,2021,8181828,,,,4540.0,PC5CAF0A7,,
,,4231,Wed,Aug,11,08:39:31,2021,3208148,,,,4840.0,PC49BFB36,,
,,4232,Sat,Aug,21,00:38:08,2021,299542,,,,,4194,,
,,4233,Thu,Jul,29,18:12:41,2021,6164639,,,,4178.0,PC8417B09,,
,,4234,Sun,Aug,,1,12:13:17,2021,4533760,,,,4268,,
,,4235,Sat,Aug,14,07:49:08,2021,8489730,,,,4901.0,PCE32D2F9,,
,,4236,Thu,Aug,12,06:37:53,2021,7729987,,,,4074.0,PCCAFD014,,
,,4237,Mon,Aug,,9,16:55:11,2021,9216942,,,,4376,,
,,4238,Fri,Jul,30,09:28:27,2021,9576643,,,,4023.0,PC77793DF,,
,,4239,Sat,Aug,14,12:15:57,2021,626817,,,,,4844,,
,,4240,Wed,Aug,18,09:49:41,2021,9681949,,,,4161.0,PCF8F6133,,
,,4241,Mon,Aug,,2,18:29:21,2021,9226682,,,,4455,,
,,4242,Sun,Aug,,1,22:58:56,2021,7622961,,,,4315,,
,,4243,Tue,Aug,10,03:05:04,2021,5978972,,,,4156.0,PC6BCA05F,,
,,4244,Sun,Aug,15,03:03:43,2021,7423799,,,,4537.0,PC10C700F,,
,,4245,Fri,Aug,,6,04:55:15,2021,1625904,,,,4062,,
,,4246,Thu,Jul,29,12:54:21,2021,111709,,,,,4683,,
,,4247,Tue,Aug,17,15:59:15,2021,6692196,,,,4889.0,PC3547FAD,,
,,4248,Sun,Aug,,1,02:31:39,2021,6643458,,,,4366,,
,,4249,Sun,Aug,15,17:27:59,2021,2143122,,,,4965.0,PCA0BAE0F,,
,,4250,Fri,Aug,13,13:51:10,2021,5085305,,,,4362.0,PC670999C,,
,,4251,Mon,Aug,,9,08:42:21,2021,1328579,,,,4141,,
,,4252,Thu,Aug,,5,06:14:47,2021,9733915,,,,4689,,
,,4253,Fri,Aug,20,15:47:57,2021,2157672,,,,4152.0,PCF6F4CA1,,
,,4254,Mon,Aug,,2,13:09:40,2021,6819341,,,,4625,,
,,4255,Fri,Aug,13,15:00:54,2021,4237463,,,,4660.0,PCB86D2E1,,
,,4256,Sat,Aug,,7,19:47:39,2021,9378341,,,,4043,,
,,4257,Wed,Aug,18,15:53:02,2021,2462239,,,,4108.0,PC7C55512,,
,,4258,Thu,Aug,12,09:04:40,2021,3727586,,,,4733.0,PC797AEBF,,
,,4259,Fri,Aug,,6,22:22:12,2021,40675,,,,,VC965,
,,4260,Mon,Aug,,9,03:48:03,2021,9105829,,,,4582,,
,,4261,Thu,Aug,,5,21:05:17,2021,224040,,,,,,
,,4262,Thu,Jul,29,11:31:56,2021,2133594,,,,4829.0,PCEC030F2,,
,,4263,Thu,Aug,19,22:16:00,2021,4040363,,,,4671.0,PCCAAFB48,,
,,4264,Thu,Aug,19,18:27:14,2021,2382902,,,,4888.0,PC46C55B4,,
,,4265,Sun,Aug,,8,21:56:15,2021,1006005,,,,4071,,
,,4266,Tue,Aug,17,12:05:32,2021,8848621,,,,4644.0,PC411FDC0,,
,,4267,Sun,Aug,,1,22:13:08,2021,3607983,,,,4291,,
,,4268,Wed,Aug,,4,19:42:54,2021,204065,,,,,,
,,4269,Mon,Aug,16,02:31:28,2021,2734116,,,,4630.0,PCA26D872,,
,,4270,Sat,Jul,31,08:42:07,2021,5406039,,,,4962.0,PCF858E11,,
,,4271,Sat,Jul,31,15:57:40,2021,6945648,,,,4010.0,PC3A7AACB,,
,,4272,Sat,Aug,14,01:54:05,2021,7640615,,,,4689.0,PC89C35AD,,
,,4273,Wed,Aug,,4,13:20:05,2021,5644328,,,,4627,,
,,4274,Sun,Aug,,8,12:11:59,2021,8276187,,,,4166,,
,,4275,Fri,Aug,13,07:41:47,2021,9613840,,,,4297.0,PCDE89544,,
,,4276,Wed,Aug,,4,06:45:14,2021,625275,,,,,,
,,4277,Wed,Aug,11,12:01:55,2021,1510805,,,,4655.0,PCF9CAB22,,
,,4278,Thu,Jul,29,14:15:59,2021,4012002,,,,4213.0,PCDD316EB,,
,,4279,Sun,Aug,15,23:31:05,2021,6955731,,,,4034.0,PCFC754C7,,
,,4280,Mon,Aug,,9,06:24:28,2021,5629077,,,,4419,,
,,4281,Sat,Aug,,7,11:01:55,2021,7833715,,,,4368,,
,,4282,Fri,Aug,,6,16:38:32,2021,8654271,,,,4817,,
,,4283,Sat,Aug,,7,11:53:46,2021,5933591,,,,4964,,
,,4284,Sat,Aug,21,07:21:19,2021,1025123,,,,4153.0,PC88C655C,,
,,4285,Wed,Aug,11,19:48:32,2021,4578447,,,,4469.0,PC120EEFD,,
,,4286,Wed,Aug,11,15:50:46,2021,8546243,,,,4646.0,PC3F8C42B,,
,,4287,Sun,Aug,,1,01:37:55,2021,8821395,,,,4862,,
,,4288,Wed,Aug,11,14:32:08,2021,4092327,,,,4518.0,PCC7B407A,,
,,4289,Thu,Aug,12,07:15:54,2021,7855227,,,,4740.0,PC04EDDB4,,
,,4290,Tue,Aug,17,04:09:04,2021,3244346,,,,4036.0,PCE6CC50C,,
,,4291,Wed,Aug,11,18:48:43,2021,7370271,,,,4673.0,PC66E7418,,
,,4292,Wed,Aug,,4,04:38:14,2021,9936154,,,,4462,,
,,4293,Fri,Jul,30,17:35:30,2021,6857007,,,,4537.0,PC10C700F,,
,,4294,Fri,Jul,30,20:44:36,2021,2091345,,,,4530.0,PCA33A9A8,,
,,4295,Fri,Aug,20,03:50:09,2021,6857171,,,,4903.0,PCC3BCE65,,
,,4296,Tue,Aug,,3,23:57:53,2021,6411824,,,,4831,,
,,4297,Mon,Aug,,2,05:52:53,2021,7737022,,,,4177,,
,,4298,Thu,Aug,,5,00:50:34,2021,3758275,,,,4942,,
,,4299,Sat,Jul,31,03:27:02,2021,5049961,,,,4918.0,PC8F8E598,,
,,4300,Sat,Aug,14,12:12:51,2021,85385,,,,,,,
,,4301,Tue,Aug,17,08:56:12,2021,5444685,,,,4247.0,PCEE69498,,
,,4302,Mon,Aug,16,05:18:25,2021,9164362,,,,4047.0,PC6D105CF,,
,,4303,Sat,Aug,21,18:51:37,2021,5288908,,,,4527.0,PC59A0CB2,,
,,4304,Tue,Aug,10,17:20:25,2021,9096289,,,,4790.0,PC2387B02,,
,,4305,Thu,Aug,,5,18:12:29,2021,3384837,,,,4416,,
,,4306,Tue,Aug,,3,10:19:25,2021,3037001,,,,4776,,
